st,area,yr,unemp,unemp_1
AK,Alaska,2007,6.3,0.7993405494535817
AK,Alaska,2008,6.7,0.8260748027008264
AK,Alaska,2009,7.7,0.8864907251724818
AK,Alaska,2010,7.9,0.8976270912904415
AK,Alaska,2011,7.6,0.8808135922807914
AK,Alaska,2012,7.1,0.8512583487190752
AK,Alaska,2013,7.0,0.8450980400142568
AK,Alaska,2014,6.9,0.8388490907372553
AK,Alaska,2015,6.5,0.8129133566428556
AK,Alaska,2016,6.9,0.8388490907372553
AK,Alaska,2017,7.0,0.8450980400142568
AK,Alaska,2018,6.6,0.8195439355418687
AL,Alabama,2007,4.0,0.6020599913279624
AL,Alabama,2008,5.7,0.7558748556724915
AL,Alabama,2009,11.0,1.0413926851582251
AL,Alabama,2010,10.5,1.021189299069938
AL,Alabama,2011,9.6,0.9822712330395684
AL,Alabama,2012,8.0,0.9030899869919435
AL,Alabama,2013,7.2,0.8573324964312685
AL,Alabama,2014,6.8,0.8325089127062363
AL,Alabama,2015,6.1,0.785329835010767
AL,Alabama,2016,5.8,0.7634279935629372
AL,Alabama,2017,4.4,0.6434526764861874
AL,Alabama,2018,3.9,0.5910646070264992
AR,Arkansas,2007,5.3,0.724275869600789
AR,Arkansas,2008,5.5,0.7403626894942439
AR,Arkansas,2009,7.8,0.8920946026904804
AR,Arkansas,2010,8.2,0.9138138523837167
AR,Arkansas,2011,8.3,0.919078092376074
AR,Arkansas,2012,7.6,0.8808135922807914
AR,Arkansas,2013,7.2,0.8573324964312685
AR,Arkansas,2014,6.0,0.7781512503836436
AR,Arkansas,2015,5.0,0.6989700043360189
AR,Arkansas,2016,4.0,0.6020599913279624
AR,Arkansas,2017,3.7,0.568201724066995
AR,Arkansas,2018,3.7,0.568201724066995
AZ,Arizona,2007,3.9,0.5910646070264992
AZ,Arizona,2008,6.2,0.7923916894982539
AZ,Arizona,2009,9.9,0.9956351945975499
AZ,Arizona,2010,10.4,1.0170333392987803
AZ,Arizona,2011,9.5,0.9777236052888477
AZ,Arizona,2012,8.3,0.919078092376074
AZ,Arizona,2013,7.7,0.8864907251724818
AZ,Arizona,2014,6.8,0.8325089127062363
AZ,Arizona,2015,6.1,0.785329835010767
AZ,Arizona,2016,5.4,0.7323937598229685
AZ,Arizona,2017,4.9,0.6901960800285137
AZ,Arizona,2018,4.8,0.6812412373755872
CA,California,2007,5.4,0.7323937598229685
CA,California,2008,7.3,0.8633228601204559
CA,California,2009,11.2,1.0492180226701815
CA,California,2010,12.2,1.0863598306747482
CA,California,2011,11.7,1.0681858617461617
CA,California,2012,10.4,1.0170333392987803
CA,California,2013,8.9,0.9493900066449128
CA,California,2014,7.5,0.8750612633917001
CA,California,2015,6.2,0.7923916894982539
CA,California,2016,5.5,0.7403626894942439
CA,California,2017,4.8,0.6812412373755872
CA,California,2018,4.2,0.6232492903979004
Co,Colorado,2007,3.7,0.568201724066995
Co,Colorado,2008,4.8,0.6812412373755872
Co,Colorado,2009,7.3,0.8633228601204559
Co,Colorado,2010,8.7,0.9395192526186185
Co,Colorado,2011,8.4,0.9242792860618817
Co,Colorado,2012,7.9,0.8976270912904415
Co,Colorado,2013,6.9,0.8388490907372553
Co,Colorado,2014,5.0,0.6989700043360189
Co,Colorado,2015,3.9,0.5910646070264992
Co,Colorado,2016,3.2,0.505149978319906
Co,Colorado,2017,2.7,0.43136376415898736
Co,Colorado,2018,3.3,0.5185139398778874
DC,District of Columbia,2007,5.5,0.7403626894942439
DC,District of Columbia,2008,6.5,0.8129133566428556
DC,District of Columbia,2009,9.3,0.9684829485539351
DC,District of Columbia,2010,9.4,0.9731278535996987
DC,District of Columbia,2011,10.2,1.0086001717619175
DC,District of Columbia,2012,9.0,0.9542425094393249
DC,District of Columbia,2013,8.5,0.9294189257142927
DC,District of Columbia,2014,7.8,0.8920946026904804
DC,District of Columbia,2015,6.9,0.8388490907372553
DC,District of Columbia,2016,6.1,0.785329835010767
DC,District of Columbia,2017,6.1,0.785329835010767
DC,District of Columbia,2018,5.6,0.7481880270062004
DE,Delaware,2007,3.4,0.5314789170422551
DE,Delaware,2008,4.9,0.6901960800285137
DE,Delaware,2009,8.3,0.919078092376074
DE,Delaware,2010,8.4,0.9242792860618817
DE,Delaware,2011,7.5,0.8750612633917001
DE,Delaware,2012,7.2,0.8573324964312685
DE,Delaware,2013,6.7,0.8260748027008264
DE,Delaware,2014,5.7,0.7558748556724915
DE,Delaware,2015,4.9,0.6901960800285137
DE,Delaware,2016,4.5,0.6532125137753437
DE,Delaware,2017,4.5,0.6532125137753437
DE,Delaware,2018,3.8,0.5797835966168101
FL,Florida,2007,4.0,0.6020599913279624
FL,Florida,2008,6.3,0.7993405494535817
FL,Florida,2009,10.4,1.0170333392987803
FL,Florida,2010,11.1,1.0453229787866574
FL,Florida,2011,10.0,1.0
FL,Florida,2012,8.5,0.9294189257142927
FL,Florida,2013,7.2,0.8573324964312685
FL,Florida,2014,6.3,0.7993405494535817
FL,Florida,2015,5.5,0.7403626894942439
FL,Florida,2016,4.8,0.6812412373755872
FL,Florida,2017,4.2,0.6232492903979004
FL,Florida,2018,3.6,0.5563025007672873
GA,Georgia,2007,4.5,0.6532125137753437
GA,Georgia,2008,6.2,0.7923916894982539
GA,Georgia,2009,9.9,0.9956351945975499
GA,Georgia,2010,10.5,1.021189299069938
GA,Georgia,2011,10.2,1.0086001717619175
GA,Georgia,2012,9.2,0.9637878273455552
GA,Georgia,2013,8.2,0.9138138523837167
GA,Georgia,2014,7.1,0.8512583487190752
GA,Georgia,2015,6.0,0.7781512503836436
GA,Georgia,2016,5.4,0.7323937598229685
