"st","area","yr","unemp","unemp_1"
"AK","Alaska","2007",6.3,0.799340549453582
"AK","Alaska","2008",6.7,0.826074802700826
"AK","Alaska","2009",7.7,0.886490725172482
"AK","Alaska","2010",7.9,0.897627091290441
"AK","Alaska","2011",7.6,0.880813592280791
"AK","Alaska","2012",7.1,0.851258348719075
"AK","Alaska","2013",7,0.845098040014257
"AK","Alaska","2014",6.9,0.838849090737255
"AK","Alaska","2015",6.5,0.812913356642856
"AK","Alaska","2016",6.9,0.838849090737255
"AK","Alaska","2017",7,0.845098040014257
"AK","Alaska","2018",6.6,0.819543935541869
"AL","Alabama","2007",4,0.602059991327962
"AL","Alabama","2008",5.7,0.755874855672491
"AL","Alabama","2009",11,1.04139268515823
"AL","Alabama","2010",10.5,1.02118929906994
"AL","Alabama","2011",9.6,0.982271233039568
"AL","Alabama","2012",8,0.903089986991944
"AL","Alabama","2013",7.2,0.857332496431269
"AL","Alabama","2014",6.8,0.832508912706236
"AL","Alabama","2015",6.1,0.785329835010767
"AL","Alabama","2016",5.8,0.763427993562937
"AL","Alabama","2017",4.4,0.643452676486187
"AL","Alabama","2018",3.9,0.591064607026499
"AR","Arkansas","2007",5.3,0.724275869600789
"AR","Arkansas","2008",5.5,0.740362689494244
"AR","Arkansas","2009",7.8,0.89209460269048
"AR","Arkansas","2010",8.2,0.913813852383717
"AR","Arkansas","2011",8.3,0.919078092376074
"AR","Arkansas","2012",7.6,0.880813592280791
"AR","Arkansas","2013",7.2,0.857332496431269
"AR","Arkansas","2014",6,0.778151250383644
"AR","Arkansas","2015",5,0.698970004336019
"AR","Arkansas","2016",4,0.602059991327962
"AR","Arkansas","2017",3.7,0.568201724066995
"AR","Arkansas","2018",3.7,0.568201724066995
"AZ","Arizona","2007",3.9,0.591064607026499
"AZ","Arizona","2008",6.2,0.792391689498254
"AZ","Arizona","2009",9.9,0.99563519459755
"AZ","Arizona","2010",10.4,1.01703333929878
"AZ","Arizona","2011",9.5,0.977723605288848
"AZ","Arizona","2012",8.3,0.919078092376074
"AZ","Arizona","2013",7.7,0.886490725172482
"AZ","Arizona","2014",6.8,0.832508912706236
"AZ","Arizona","2015",6.1,0.785329835010767
"AZ","Arizona","2016",5.4,0.732393759822969
"AZ","Arizona","2017",4.9,0.690196080028514
"AZ","Arizona","2018",4.8,0.681241237375587
"CA","California","2007",5.4,0.732393759822969
"CA","California","2008",7.3,0.863322860120456
"CA","California","2009",11.2,1.04921802267018
"CA","California","2010",12.2,1.08635983067475
"CA","California","2011",11.7,1.06818586174616
"CA","California","2012",10.4,1.01703333929878
"CA","California","2013",8.9,0.949390006644913
"CA","California","2014",7.5,0.8750612633917
"CA","California","2015",6.2,0.792391689498254
"CA","California","2016",5.5,0.740362689494244
"CA","California","2017",4.8,0.681241237375587
"CA","California","2018",4.2,0.6232492903979
"Co","Colorado","2007",3.7,0.568201724066995
