Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
Overcast,rain,3.733333333333333,-1.1944444444444438,0.65,25.921000000000003,270.0,9.982,1025.18
Mostly Cloudy,rain,3.2611111111111097,-0.3055555555555559,0.79,14.586600000000002,282.0,15.826300000000002,1014.9
Mostly Cloudy,rain,6.666666666666667,3.894444444444444,0.51,,110.0,16.1,1009.3
Partly Cloudy,rain,13.93888888888889,13.93888888888889,0.89,3.5259,238.0,16.1,1017.32
Partly Cloudy,rain,22.84444444444445,22.84444444444445,0.44,17.146500000000003,230.0,11.2056,1014.97
Clear,,11.06111111111111,11.06111111111111,0.61,15.649200000000002,317.0,0.0,1024.66
Overcast,snow,0.0,-4.550000000000001,0.92,15.8424,30.0,4.395300000000001,1014.64
Partly Cloudy,rain,12.488888888888887,12.488888888888887,0.6,8.6618,293.0,15.552600000000002,1020.95
Mostly Cloudy,snow,-3.333333333333333,-8.394444444444444,0.92,14.49,180.0,,1026.7
,snow,-7.222222222222222,-15.033333333333331,0.8,24.15,200.0,8.05,1006.6
Clear,rain,13.177777777777775,13.177777777777775,0.8,0.0,0.0,15.826300000000002,1019.31
Foggy,rain,5.161111111111111,3.5277777777777786,0.93,7.293300000000001,172.0,1.5617,1007.95
Overcast,rain,2.7777777777777777,-1.3999999999999997,0.96,17.71,140.0,4.025,1012.6
Overcast,rain,15.122222222222222,15.122222222222222,0.31,25.051600000000004,338.0,11.4471,1006.91
Partly Cloudy,rain,18.8,18.8,0.73,23.312800000000003,311.0,10.2074,1006.11
Mostly Cloudy,rain,6.688888888888888,6.688888888888888,0.89,0.0,0.0,15.826300000000002,1014.9
Partly Cloudy,rain,3.333333333333333,0.8833333333333352,0.93,9.160900000000002,164.0,8.5813,1019.18
Overcast,snow,-0.688888888888888,-3.1444444444444444,1.0,6.8908000000000005,316.0,,998.8
Overcast,snow,-5.116666666666667,-11.116666666666664,0.85,16.9694,340.0,5.892600000000001,1001.24
Foggy,snow,-0.0944444444444453,-3.2944444444444443,1.0,9.5956,70.0,2.5438,1010.79
Partly Cloudy,rain,27.24444444444445,27.72777777777777,0.51,3.8318,208.0,11.2056,1014.83
Partly Cloudy,rain,17.650000000000002,17.650000000000002,0.51,11.3344,38.0,10.3523,1020.4
Mostly Cloudy,rain,12.511111111111113,12.511111111111113,0.72,10.7709,153.0,14.168000000000005,1024.62
Overcast,snow,-2.127777777777777,-2.127777777777777,0.86,3.3649,234.0,8.1305,1018.53
Foggy,rain,5.0,1.8444444444444448,0.93,14.49,70.0,3.059,1015.3
Overcast,rain,4.927777777777776,1.805555555555556,0.93,14.2163,319.0,4.347,996.94
Breezy,rain,6.083333333333335,1.338888888888887,0.76,31.829700000000003,31.0,16.0517,1029.95
Mostly Cloudy,rain,11.35,11.35,0.43,1.932,242.0,9.982,1017.14
Overcast,rain,8.194444444444445,6.355555555555554,0.76,10.7387,10.0,15.826300000000002,1014.95
Partly Cloudy,rain,29.97777777777777,31.783333333333328,0.55,14.168000000000005,175.0,10.3523,1012.25
Partly Cloudy,rain,7.755555555555556,4.866666666666665,0.77,17.291400000000003,331.0,11.27,1011.16
Mostly Cloudy,rain,10.027777777777777,10.027777777777777,0.81,13.0249,139.0,15.1823,1019.41
Mostly Cloudy,snow,-2.3888888888888893,-2.3888888888888893,0.95,3.2039,261.0,10.980200000000002,1018.11
Mostly Cloudy,snow,-0.5444444444444447,-3.7722222222222217,0.96,9.3541,193.0,8.0661,1020.02
Overcast,rain,12.816666666666666,12.816666666666666,0.66,25.4219,350.0,10.722600000000002,1018.58
Partly Cloudy,rain,21.872222222222224,21.872222222222224,0.92,3.8318,232.0,14.168000000000005,1011.03
Mostly Cloudy,rain,12.711111111111112,12.711111111111112,0.96,15.6009,283.0,11.125100000000002,1007.46
Partly Cloudy,rain,27.77777777777778,27.077777777777776,0.33,8.05,260.0,9.982,1018.8
Partly Cloudy,rain,12.738888888888887,12.738888888888887,0.96,6.4561,105.0,6.6976,1006.96
Partly Cloudy,rain,14.844444444444443,14.844444444444443,0.68,6.3112,170.0,15.826300000000002,1013.56
Partly Cloudy,rain,13.15,13.15,0.72,10.2396,3.0,14.9569,1017.44
Mostly Cloudy,rain,8.883333333333335,5.966666666666668,0.71,20.1572,159.0,10.3523,1011.66
Clear,snow,-2.333333333333333,-4.966666666666667,0.88,6.6654,300.0,9.7566,1018.09
Partly Cloudy,rain,19.95,19.95,0.45,25.9049,290.0,11.2056,0.0
Clear,snow,-2.883333333333334,-7.066666666666666,1.0,11.2056,241.0,6.118,1003.82
Overcast,,12.733333333333334,12.733333333333334,0.64,10.6904,29.0,11.2056,1012.97
Overcast,rain,0.0500000000000019,-2.6611111111111105,0.85,7.985600000000001,139.0,9.8049,1037.68
Overcast,rain,4.627777777777776,3.127777777777779,0.92,6.5688,165.0,4.025,1008.43
Mostly Cloudy,rain,30.85,30.050000000000004,0.35,1.8998,278.0,15.552600000000002,1012.55
Partly Cloudy,rain,12.977777777777778,12.977777777777778,0.62,7.5187,190.0,10.577700000000002,1024.09
Breezy and Overcast,rain,22.11111111111111,22.11111111111111,0.34,36.933400000000006,249.0,16.1,1010.4
Mostly Cloudy,rain,20.0,,0.57,8.05,150.0,9.982,1019.1
Mostly Cloudy,rain,2.077777777777779,-3.150000000000001,0.69,24.3593,140.0,15.552600000000002,1021.16
Overcast,rain,10.18888888888889,10.18888888888889,0.92,16.2932,259.0,8.6618,1007.5
