Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
Partly Cloudy,rain,12.22222222,12.22222222,0.59,11.27,290,16.1,1008.9
Overcast,snow,-5.672222222,-8.438888889,0.89,5.8282,279,5.9087,1029.96
Mostly Cloudy,rain,8.111111111,5.744444444,0.77,13.9426,248,14.9569,1009.23
Partly Cloudy,rain,17.65555556,17.65555556,0.62,1.61,56,10.3523,1020.44
Partly Cloudy,rain,13.98333333,13.98333333,0.5,20.6241,151,9.982,1017.86
Clear,rain,8.311111111,7.433333333,0.83,6.4078,353,8.1305,1025.72
Mostly Cloudy,rain,8.888888889,8.888888889,0.66,3.22,110,9.982,1016.6
Foggy,snow,-3.777777778,-7.633333333,0.99,9.4185,52,0.7567,1026.2
Clear,rain,27.66666667,28.55555556,0.56,8.0822,128,9.982,1016.38
Partly Cloudy,rain,15,15,0.42,25.76,350,9.982,1018.3
Overcast,rain,27.77777778,27.61666667,0.42,6.9713,354,10.3523,1013.73
Mostly Cloudy,rain,7.361111111,7.361111111,0.89,3.5581,281,9.6439,1022.18
Clear,snow,-5.416666667,-10.15,0.88,11.3022,279,14.9086,1027.74
Overcast,snow,-5,-9.638888889,0.81,11.27,10,8.05,1026.3
Foggy,snow,-2.333333333,-7.166666667,0.94,14.49,310,1.449,1041.9
Mostly Cloudy,rain,21.10555556,21.10555556,0.31,6.5688,35,10.3523,1012.69
Overcast,rain,2.755555556,-1.827777778,0.89,20.5919,148,8.1305,1006.33
Mostly Cloudy,rain,26.17777778,26.17777778,0.53,9.66,202,9.982,1011.42
Clear,rain,20.07222222,20.07222222,0.92,3.1717,359,15.8263,1016.83
Partly Cloudy,rain,9.027777778,7.283333333,0.87,11.1734,233,14.329,1011.19
Partly Cloudy,rain,4.35,1.072222222,0.83,14.329,320,,1016.26
Mostly Cloudy,rain,14.52777778,14.52777778,0.56,6.6493,299,16.1,1025.81
Overcast,rain,13.86666667,13.86666667,0.93,6.4722,134,6.9874,1010.58
Overcast,rain,11.21666667,11.21666667,0.93,3.4937,258,10.0303,1018.45
Overcast,rain,3.061111111,3.061111111,0.75,4.7334,203,9.982,1021.74
Mostly Cloudy,rain,6.111111111,4.444444444,0.93,8.05,160,11.27,1018.3
Clear,rain,11.81111111,11.81111111,0.91,5.474,135,14.7637,1020.59
Mostly Cloudy,rain,17.22222222,17.22222222,0.52,16.1,0,11.27,1010.3
Partly Cloudy,rain,32.04444444,31.45,0.34,8.7584,163,10.3523,1011.95
Overcast,rain,7.283333333,4.427777778,0.86,16.0839,54,9.9015,1009.71
Mostly Cloudy,rain,7.033333333,4.116666667,0.65,16.1322,120,10.3684,1018
Partly Cloudy,snow,-6.55,-9.561111111,0.92,6.0536,43,8.1949,1026.11
Breezy and Mostly Cloudy,rain,7.777777778,3.305555556,0.83,35.42,160,9.982,999.7
Mostly Cloudy,rain,14.97222222,14.97222222,0.55,3.0107,172,16.1,1022.72
Partly Cloudy,rain,28.87777778,27.78888889,0.3,11.4632,322,10.3523,1019.49
Partly Cloudy,rain,7.894444444,6.333333333,0.9,8.9677,257,14.9569,1011.35
Clear,rain,2.45,2.45,0.92,1.8193,275,4.025,1026.2
Partly Cloudy,rain,9.955555556,7.094444444,0.57,22.6366,318,11.27,1029.3
Partly Cloudy,rain,7.222222222,4.638888889,0.79,14.1036,10,16.0517,1026.16
Mostly Cloudy,snow,-1.116666667,-4.627777778,0.93,9.9981,162,3.7191,1020.16
Mostly Cloudy,rain,7.994444444,4.877777778,0.76,19.8513,162,,1005.17
